시설명,주소,정확도,road_lon,road_lat,road_status,parcel_lon,parcel_lat,parcel_status,road_parcel_diff_m
용산국제업무지구(도시혁신구역 후보지),서울특별시 용산구 청파로 56-20,확인,126.960383629,37.531815127,OK,,,NOT_FOUND,
금천공군부대(도시혁신구역 후보지),서울 금천구 독산동 486,확인,,,NOT_FOUND,126.89459951238669,37.46232435546601,OK,
청량리역 일대(도시혁신구역 후보지),서울 동대문구 왕산로 214,대표주소,127.046601781,37.579002636,OK,,,NOT_FOUND,
서초구청사(도시혁신구역 후보지),서울 서초구 남부순환로 2584,대표주소,127.032595021,37.483596826,OK,,,NOT_FOUND,
김포공항 일대(도시혁신구역 후보지),서울 강서구 하늘길 77,확인,126.801278455,37.5623133,OK,,,NOT_FOUND,
서부운전면허시험장,서울 마포구 월드컵로42길 13,확인,126.878374027,37.580000612,OK,,,NOT_FOUND,
강서구 군부대 이적지,서울 강서구 공항동 36-3,확인,126.811719395,37.563746256,OK,126.81555401901086,37.55997802747831,OK,537.4
가락시장역 일대 전파관리소,서울 송파구 가락동 100,확인,127.121038193,37.49727313,OK,127.12097972068217,37.49230562986705,OK,551.4
창동차량기지,서울 노원구 노원로 573,확인,,,NOT_FOUND,,,NOT_FOUND,
창동 하나로마트,서울 도봉구 마들로11길 20,확인,127.052824762,37.655762749,OK,,,NOT_FOUND,
도봉운전면허시험장,서울 노원구 동일로 1449,확인,127.059815356,37.656094352,OK,,,NOT_FOUND,
국립중앙의료원 이전 예정부지,서울 중구 을지로 245,대표주소,127.006728277,37.567181546,OK,126.99444404053355,37.56654480426984,OK,1083.3
노량진 수산시장 옆 시유지,서울 동작구 노들로 674,대표주소,126.937965961,37.514816345,OK,,,NOT_FOUND,
코원에너지부지,서울 강남구 대치동 27-1 외 1필지,확인,,,NOT_FOUND,127.07603749155888,37.499213310450905,OK,
이문차량기지,서울 동대문구 한천로 472,확인,127.067716722,37.602888862,OK,,,NOT_FOUND,
수서차량기지,서울 강남구 밤고개로5길 46-13,확인,127.111406887,37.478593905,OK,,,NOT_FOUND,
고덕차량기지,서울 강동구 아리수로87길 32,확인,127.162157711,37.570497339,OK,,,NOT_FOUND,
여의도 KBS본관부지,서울 영등포구 여의공원로 13,확인,126.915679317,37.52632335,OK,,,NOT_FOUND,
여의도 KBS별관부지,서울 영등포구 여의대방로 359,확인,126.929477651,37.518671455,OK,,,NOT_FOUND,
용산캠프킴부지,서울 용산구 한강로1가 1-1,확인,,,NOT_FOUND,126.97247608007928,37.538854322841715,OK,
한국전력공사 자재센터 (마장동 765-1),서울 성동구 마장동 765-1,확인,,,NOT_FOUND,127.0411461410221,37.56721476616238,OK,
잠실 스포츠 MICE 복합공간 조성,서울 송파구 올림픽로 25,대표주소,127.07277332,37.515876741,OK,,,NOT_FOUND,
서울의료원 강남분원 이전부지,서울 강남구 봉은사로114길 43,확인,,,NOT_FOUND,,,NOT_FOUND,
국립보건원 부지(은평구 통일로 684일대),서울 은평구 통일로 684,대표주소,126.93247839,37.608382561,OK,,,NOT_FOUND,
옛 국군정보사령부 부지(서리풀 지구단위계획구역),서울 서초구 서초동 1005-6,확인,,,NOT_FOUND,127.00272494569012,37.488915686144466,OK,
양재 도시첨단 물류단지(양재동 225),서울 서초구 양재동 225,확인,127.04246734,37.481896457,OK,127.04019139704533,37.46082328939875,OK,2347.7
서부트럭터미널(신정동 1315),서울 양천구 신정동 1315-9 / 신정로 167,확인,,,NOT_FOUND,126.83818971888775,37.50815365069901,OK,
태릉CC,서울 노원구 공릉동 1-2,확인,,,NOT_FOUND,127.10810997436226,37.63216686607886,OK,
남부터미널,서울 서초구 효령로 292,확인,127.0152981,37.484468547,OK,,,NOT_FOUND,
수서공영주차장,서울 강남구 수서동 727,확인,,,NOT_FOUND,127.1012610538456,37.48686592522719,OK,
정릉 공영차고지,서울 성북구 보국문로 145,확인,127.004354073,37.615732882,OK,,,NOT_FOUND,
남부도로사업소,서울 은평구 통일로62길 7,확인,126.934433284,37.607226751,OK,,,NOT_FOUND,
마포 농수산물시장,서울 마포구 월드컵로 235,확인,126.898487264,37.565508025,OK,,,NOT_FOUND,
501 정보대(용산),서울 용산구 서빙고동 235-11,확인,,,NOT_FOUND,126.99139023818589,37.52195718793176,OK,
"한국국방연구원, 한국경제발전전시관 부지(회기동)",서울 동대문구 회기로 47,확인,127.042170622,37.595024801,OK,,,NOT_FOUND,
양재 양곡도매시장,서울 서초구 양재대로12길 36,확인,127.037393717,37.459435455,OK,,,NOT_FOUND,
개화산역 공영주차장,서울 강서구 방화동 845,확인,,,NOT_FOUND,126.80518663900115,37.57213000956942,OK,
